stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1745,148,"Bertsolari Txirrita 21",,43.3158863237,-1.93915866721,40,,0,
1746,149,"Bertsolari Txirrita 13",,43.3141970884,-1.93902086366,40,,0,
1747,15,"Martuteneko Geralekua,antzieta Ps (Donostia)","Renfe Martutene",43.2989634804,-1.95616297597,40,,0,
1748,150,Miracruz,"Pinudi/Pinares14(L14,29,31,33)",43.3219161842,-1.97487537983,40,,0,
1750,152,"Fernando Sasiain","F. Sasiain",43.3214713646,-1.9615217028,40,,0,
1751,153,"Mons 36",,43.3164558249,-1.95588617292,40,,0,
1752,154,"Zarategi 84",,43.315563589,-1.95480203112,40,,0,
1753,155,Txara,"Txara I",43.3139284848,-1.95659698877,40,,0,
1754,156,"Gipuzkoa Pza. 7","Plaza Guipuzkoa (L14,37)",43.3214619887,-1.98202554216,40,,0,
1755,157,"Askatasunaren Etorb. 7/Avda. De La Libertad 7","Askata. 7 (L14,37)",43.3201254385,-1.98035725082,40,,0,
1756,158,"Elosegi Alkatearen Kalea,102 Aurrean (Donostia)",Kontadoreak/Contadores,43.3211482286,-1.9449651781,40,,0,
1757,159,"Macondo 10","Pasai San Pedro Hiribidea 1",43.3213835384,-1.94511994734,40,,0,
1758,16,"Martutene Ps. Gasolinera Mendiburu Aurrean (Donost","Ibai Alde",43.2953037504,-1.95448863607,40,,0,
1759,160,"Juan Xxiii.A","Juan Xxiii 2",43.3224115276,-1.94204180052,40,,0,
1760,161,"Juan Xxiii.A","Juan Xxiii 1 (L13,14,38)",43.3220132313,-1.94221993745,40,,0,
1761,162,"Bidebietako Anbulatorioa",,43.3234791186,-1.93993363212,40,,0,
1762,163,"Julio Urkixo 38",,43.3237011305,-1.94201931626,40,,0,
1763,164,"Serapio Mujika 29",,43.3232597758,-1.94542577912,40,,0,
1764,165,"Ategorrieta, 67 Aurrean (Donostia)","Ategorrieta 65",43.3219505027,-1.96219517725,40,,0,
1765,166,"Ategorrieta 41",,43.3221733099,-1.96711153274,40,,0,
1766,167,Satrustegi,,43.3155651949,-2.00133595738,40,,0,
1767,168,Tenis,"Satrústegi Ii",43.3168546937,-2.00545296441,40,,0,
1768,169,Funikularea,,43.319066531,-2.0063342328,40,,0,
1769,17,"Pilarreko Andra Maria","Virgen Del Pilar",43.2940453274,-1.95389721435,40,,0,
1770,170,"La Sirena",,43.3147235729,-2.00765018891,40,,0,
1771,171,"Etxe Eder","Igeldo 81",43.3155591242,-2.01305260374,40,,0,
1772,172,Valentin,"Kristobal Balenziaga 2",43.3183292758,-2.01643477069,40,,0,
1773,173,Tximistarri,,43.3180315611,-2.02048942365,40,,0,
1774,174,Buenavista,"Kristobal Balenziaga 42",43.3160121751,-2.02321027335,40,,0,
1775,175,Amezti,"Amezti 2",43.314181193,-2.02776791403,40,,0,
1776,176,Kamio,"Kamio Cb.74",43.3124327009,-2.03045794836,40,,0,
1777,177,"Venta Alegre","Kristobal Balenziaga 96",43.3103465617,-2.03376057752,40,,0,
1778,178,"Igeldo Herria",,43.3089203303,-2.03743871193,40,,0,
1779,179,Meteorologikoa,"Meteorologikoa Po.44",43.3062893482,-2.04106880081,40,,0,
1780,18,Larrunmendi,"Larrun Mendi (L26)",43.29514166,-1.95427510259,40,,0,
1781,180,Kanpalekua/Camping,Camping,43.3054521552,-2.04536253065,40,,0,
1782,181,Meteorologikoa,"Meteorologikoa Po.47",43.3062669144,-2.04095912313,40,,0,
1783,182,"Igeldo Herria","Igeldo Herria Cb.105 (L16)",43.3089730747,-2.0355493501,40,,0,
1784,183,"Venta Alegre","Kristobal Balenziaga 93",43.3104750905,-2.03338213431,40,,0,
1785,184,Kamio,,43.3123917805,-2.03040226364,40,,0,
1786,185,Amezti,,43.3141204319,-2.02771451058,40,,0,
1787,186,Buenavista,"Kristobal Balenziaga 42 Ii",43.3157802454,-2.02326427931,40,,0,
1788,187,Tximistarri,"Tximistarri Cb.23",43.3179229261,-2.02044770912,40,,0,
1789,188,Valentin,"Kristobal Balenziaga I",43.3181230829,-2.01635811018,40,,0,
1790,189,Rekondo,"Igeldo 57",43.3132136217,-2.01116383998,40,,0,
1791,19,"Martuteneko Geralekua,frente Colegio Apostolado (Donostia)","Martutene 53",43.2990810048,-1.95598925171,40,,0,
1792,190,Iruña,,43.3143635407,-2.00473725227,40,,0,
1793,191,"Alcalde Jose Elosegi,135","Elosegui 131",43.3198828163,-1.93700098249,40,,0,
1794,192,"Galtzara Nagusia 27","Gran Vía- 27 (L17,33, 40)",43.3238413652,-1.97328841574,40,,0,
1795,193,"Iparreko Geltokia","Estación Norte (L17,24,37)",43.3175751832,-1.97725936311,40,,0,
1796,194,"Pz. Bilbao",Bilbo/Bilbao,43.3171800342,-1.97990899006,40,,0,
1797,195,"Plaza Del Centenario, Frente Nº 6 (Donostia)",Ehunurteurrena/Centenario,43.3126016326,-1.98043175855,40,,0,
1798,197,"Sancho El Sabio 35, Astoria","Antso Jakituna 28 I/Sel S.28 I",43.3079910857,-1.97947941079,40,,0,
1799,198,"Madrid Etorb. 10/Avda. Madrid 10","Madrid 10",43.304653699,-1.97709756825,40,,0,
1800,199,"Anoetako Torre Ondoan,amara (Donositia)",Anoeta,43.3027241086,-1.97520914839,40,,0,
1801,2,"Urbieta 12","Urbieta 12 (L21,28)",43.3178706697,-1.98352589467,40,,0,
1802,20,"Martuteneko Presondegia Aurrean (Donostia)",Kartzela,43.3026421949,-1.95804518952,40,,0,
